energy_mev,n_events,entries,mean_mm,quantile_used,quantile_mm,quantile_eff_mm,smax_mm,below_fit_threshold,in_fit_exclude_band,geometry_saturated
1500,10000,3223023699,1286.955,0.9999,7300.000,8030.000,10400.000,0,0,0
1520,10000,3265658331,1293.928,0.9999,7200.000,7920.000,9900.000,0,0,0
1540,10000,3309113044,1297.223,0.9999,7400.000,8140.000,10200.000,0,0,0
1560,10000,3351817698,1301.601,0.9999,7600.000,8360.000,11200.000,0,0,0
1580,10002,3395513085,1309.654,0.9999,7500.000,8250.000,10100.000,0,0,0
1600,10002,3438375366,1311.426,0.9999,7500.000,8250.000,11000.000,0,0,0
1620,10002,3481564793,1325.067,0.9999,7500.000,8250.000,10100.000,0,0,0
1640,10002,3524539686,1319.228,0.9999,7300.000,8030.000,11500.000,0,0,0
1660,10002,3567512418,1328.389,0.9999,7600.000,8360.000,12100.000,0,0,0
1680,10002,3610406469,1334.111,0.9999,7400.000,8140.000,10400.000,0,0,0
1700,10002,3653430849,1335.892,0.9999,7800.000,8580.000,13500.000,0,0,0
1720,10002,3696094799,1339.139,0.9999,7300.000,8030.000,11300.000,0,0,0
1740,10002,3739359668,1346.192,0.9999,7500.000,8250.000,10600.000,0,0,0
1760,10002,3782147546,1344.668,0.9999,7400.000,8140.000,10200.000,0,0,0
1780,10002,3825420046,1350.043,0.9999,7500.000,8250.000,10300.000,0,0,0
1800,10002,3868472274,1359.764,0.9999,7600.000,8360.000,12100.000,0,0,0
1820,10002,3910984436,1363.714,0.9999,7600.000,8360.000,9900.000,0,0,0
1840,10002,3953424472,1370.257,0.9999,7600.000,8360.000,12000.000,0,0,0
1860,10002,3997205394,1369.052,0.9999,7400.000,8140.000,11400.000,0,0,0
1880,10002,4040476563,1374.114,0.9999,7500.000,8250.000,10400.000,0,0,0
1900,10002,4083310803,1373.870,0.9999,7500.000,8250.000,10700.000,0,0,0
1920,10002,4126315243,1376.701,0.9999,7400.000,8140.000,11200.000,0,0,0
